Name,TEAM,ADP,ADP_TREND,PRIMARY_POS,SECONDARY_POS
Wang Zhelin,Mem,139.9,-0.1,C,
Paul Pierce,LAC,139.9,0,SF,
Pau Gasol,Por,139.9,0.1,C,
Joe Young,Ind,139.9,-0.1,PG,
Rade Zagorac,Mem,139.9,-0.1,SG,
Jared Dudley,LAL,139.9,0,PF,SF
Manu Ginobili,SA,139.9,0,SG,
Jimmer Fredette,Phx,139.9,0,SG,
Lance Stephenson,LAL,139.9,0,SF,SG
Kyle Korver,Mil,139.9,0.1,SF,SG
Chris Bosh,Mia,139.9,0,PF,
James Young,Mil,139.9,-0.1,SG,
Zach Randolph,Dal,139.9,0,PF,
Tony Wroten,Mem,139.9,0,PG,
Patric Young,NO,139.9,-0.1,C,
Brandan Wright,Hou,139.9,-0.1,PF,
Darren Collison,Ind,139.9,-0.1,PG,
Anthony Bennett,Hou,139.9,0,PF,
Tony Parker,Cha,139.9,0,PG,
Kyle Guy,Sac,139.9,0,SG,
Zhou Qi,Hou,139.9,-0.1,C,
Jamal Crawford,Phx,140,0,SG,
Shaun Livingston,GS,140,0,PG,
Amar'e Stoudemire,Mia,140,0,PF,
Matthew Dellavedova,Cle,140,0,PG,
James Johnson,Mia,140,-0.3,PF,
Grayson Allen,Mem,140,0,SG,
Charlie Villanueva,Dal,140,0,PF,
Nate Wolters,Utah,140,0,PG,
Jeff Withey,Dal,140,0,C,
Satnam Singh Bhamara,Dal,140,0,C,
Zaza Pachulia,Det,140,0,C,
Anderson Varejao,GS,140,0,C,
Kendrick Perkins,Cle,140,0,C,
Gerald Green,Hou,140,0,SG,SF
Kyle Wiltjer,Tor,140,0,PF,
Joe Johnson,Det,140,0,SG,
Nick Young,Den,140,0,SG,
Iman Shumpert,Hou,140,0,SF,SG
Trevor Booker,Ind,140,0,PF,
Jevon Carter,Phx,140,0,PG,
Mike Scott,Phi,140,0,PF,
J.J. Barea,Dal,140,0,PG,
Deron Williams,Cle,140,0,PG,
Donte DiVincenzo,Mil,140,0,SG,
Andre Ingram,LAL,140,0,SG,
Ekpe Udoh,Utah,140,0,C,
Matisse Thybulle,Phi,140,0.1,SG,
Ignas Brazdeikis,NY,140,0,PF,
Semi Ojeleye,Bos,140,0,PF,
Andrew Bogut,GS,140,0,C,
Ron Baker,Wsh,140,0,SG,
Jason Terry,Mil,140,0,SG,
Miles Plumlee,Mem,140,0,C,
Nate Robinson,NO,140,0,PG,
JaKarr Sampson,Ind,140,0,PF,
Dzanan Musa,Bkn,140,0,SF,
David West,GS,140,0,PF,
Sasha Vujacic,NY,140,0,SG,
Dante Exum,Utah,140,0,PG,
Justin James,Sac,140,0,SG,
Tyler Ulis,Sac,140,0,PG,
Tremont Waters,Bos,140,0,PG,
Damien Wilkins,Ind,140,0,SF,
Cristiano Felicio,Chi,140,0,C,
Kyle Collinsworth,Utah,140,0,SG,
Doug McDermott,Ind,140,0,SF,
Timofey Mozgov,Orl,140,0,C,
Furkan Korkmaz,Phi,140,0,SG,
Ben McLemore,Hou,140,0,SG,
Jordan Bone,Det,140,0,PG,
Talen Horton-Tucker,LAL,140,0,SG,SF
Admiral Schofield,Wsh,140,0,SF,
Alan Williams,Bkn,140,0,PF,C
Chandler Parsons,Atl,140,0,SF,
Thabo Sefolosha,Hou,140,0,SF,SG
Patrick McCaw,Tor,140,0,SG,
Pablo Prigioni,Hou,140,0,PG,
Nigel Williams-Goss,Utah,140,0,PG,
Mo Williams,Atl,140,0,PG,
Elliot Williams,GS,140,0,SG,
Michael Beasley,LAC,140,0,PF,
Sindarius Thornwell,Cle,140,0,SF,
Sim Bhullar,Sac,140,0,C,
Nikola Pekovic,Min,140,0,C,
Luol Deng,Min,140,0,SF,
Zhaire Smith,Phi,140,0.1,SG,
Isaiah Whitehead,Det,140,0,PG,
Jacob Evans,GS,140,0,SG,
Glenn Robinson III,GS,140,0,SF,SG
Derrick Williams,LAL,140,0,PF,
Darius Miller,NO,140,0,SF,
Kostas Papanikolaou,Den,140,0,PF,
Josh Smith,NO,140,0,SF,
O.J. Mayo,Mil,140,0,SG,
Brandon Knight,Cle,140,0,PG,
D.J. Wilson,Mil,140,0,PF,
Kyle Singler,OKC,140,0,SF,
Reggie Hearn,LAL,140,0,SG,
Eric Paschall,GS,140,0,PF,
Marcos Louzada Silva,NO,140,0,SG,
Robert Sacre,NO,140,0,C,
Nene Hilario,Hou,140,0,C,
Rashad Vaughn,Dal,140,0,SF,
Luc Mbah a Moute,LAC,140,0,SF,
Nassir Little,Por,140,0,SF,
RJ Hunter,Bos,140,0,SG,
Channing Frye,Cle,140,0,C,
Alonzo Gee,NO,140,0,SF,
Jerryd Bayless,Min,140,0,PG,
Marcelo Huertas,Hou,140,0,PG,
Luis Scola,Bkn,140,0,PF,
Brad Wanamaker,Bos,140,0,PG,
Kevin Porter Jr.,Cle,140,-0.1,SG,
Gary Trent Jr.,Por,140,0,SG,
Devonte' Graham,Cha,140,0,PG,
Isaiah Roby,Dal,140,0,PF,
Jamil Wilson,LAC,140,0,PF,
Matt Bonner,SA,140,0,PF,
Terrance Ferguson,OKC,140,0,SG,
Kobi Simmons,Cha,140,0,PG,
Quincy Pondexter,SA,140,0,SF,
Dragan Bender,Mil,140,0,PF,
Diamond Stone,Chi,140,0,C,
Jaylen Nowell,Min,140,0,SG,
Melvin Frazier Jr.,Orl,140,0,SF,
Frank Mason III,Mil,140,0,PG,
Kyle O'Quinn,Phi,140,0,C,
Raul Neto,Phi,140,0,PG,
Kris Humphries,Phi,140,0,PF,
David Nwaba,Bkn,140,0,SG,SF
Tyler Zeller,Den,140,0,C,
Tarik Black,Hou,140,0,C,
Jodie Meeks,Tor,140,0,SG,
Frank Jackson,NO,140,0,PG,
Nik Stauskas,Cle,140,0,SG,
Andre Miller,SA,140,0,PG,
Nikola Mirotic,Mil,140,-0.5,PF,
Boris Diaw,Utah,140,0,PF,
PJ Dozier,Den,140,0,PG,
Juan Vaulet,Bkn,140,0,SF,
Deng Adel,Bkn,140,0,SF,
Jacob Wiley,Bkn,140,0,SF,
Justin Jackson,Orl,140,0,SF,
Sir'Dominic Pointer,Cle,140,0,SG,
Cody Martin,Cha,140,0,SG,
Quincy Acy,Phx,140,0,PF,
Jonah Bolden,Phi,140,0,PF,
Aleksandar Vezenkov,Bkn,140,0,PF,
Deonte Burton,OKC,140,0,SG,
Justin Jackson,Dal,140,0,SF,
T.J. Leaf,Ind,140,0,PF,
Ryan Anderson,Hou,140,0,PF,
Quinndary Weatherspoon,SA,140,0,SG,
Duncan Robinson,Mia,140,0,SF,
Devin Harris,Dal,140,0,SG,PG
Tony Allen,NO,140,0,SF,
Caron Butler,Sac,140,0,SF,
Dwight Buycks,Det,140,0,PG,
Mitchell Watt,FA,140,0,PF,
Isaiah Canaan,Mil,140,0,PG,
Beno Udrih,Det,140,0,PG,
Langston Galloway,Det,140,0,SG,
Marshall Plumlee,Mil,140,0,C,
Marreese Speights,Orl,140,0,C,
Corey Brewer,Sac,140,0,SF,
CJ Wilcox,Ind,140,0,SG,
Donatas Motiejunas,SA,140,0,PF,
Eric Griffin,Utah,140,0,SF,
Larry Sanders,Cle,140,0,C,
Reggie Williams,NO,140,0,SF,
Richard Jefferson,Den,140,0,SF,
Mitch McGary,OKC,140,0,PF,
Joel Anthony,Mil,140,0,C,
C.J. Watson,Orl,140,0,PG,
Abdel Nader,OKC,140,0,SF,
Shawn Long,Hou,140,0,PF,
Milos Teodosic,LAC,140,0,PG,
Justin Harper,Phi,140,0,SF,
Norris Cole,OKC,140,0,PG,
Udonis Haslem,Mia,140,0,PF,
Greivis Vasquez,Bkn,140,0,PG,
Emeka Okafor,Phi,140,0,C,
Sviatoslav Mykhailiuk,Det,140,0,SF,
Jaylen Hands,Bkn,140,0,PG,
Daniel Hamilton,Cle,140,0,SG,
Andrew Harrison,GS,140,0,PG,
Trey McKinney-Jones,Ind,140,0,SG,
John Lucas III,Min,140,0,PG,
Luke Babbitt,Mia,140,0,SF,
Yuta Watanabe,Mem,140,0,SF,
Tiago Splitter,Phi,140,0,PF,
Dee Bost,FA,140,0,PG,
DeAndre Liggins,Mia,140,0,SF,
Gary Clark,Hou,140,0,PF,
Omri Casspi,Mem,140,0,SF,
Jack Cooley,Sac,140,0,PF,
Monta Ellis,Ind,140,0,SG,
Nicolas Brussino,Atl,140,0,SG,
Ty Lawson,Wsh,140,0,PG,
Alen Smailagic,GS,140,0,PF,
J.P. Macura,Cle,140,0,SG,
Jose Calderon,Det,140,0,PG,
Rakeem Christmas,Ind,140,0,PF,
Mike Dunleavy,Atl,140,0,SG,
Raymond Felton,OKC,140,0,PG,
Sterling Brown,Mil,140,0,SG,SF
Edmond Sumner,Ind,140,0,SG,
Johnathan Motley,LAC,140,0,PF,
Jordan Mickey,Mia,140,0,PF,
Greg Monroe,Phi,140,0,C,
Kadeem Allen,NY,140,0,PG,
Ryan Kelly,Atl,140,0,SF,
Tim Quarterman,Hou,140,0,SG,
Thomas Welsh,Cha,140,0,C,
Rasual Butler,Min,140,0,SG,
Chris McCullough,Det,140,0,PF,
Zoran Dragic,Bos,140,0,SG,
Hamidou Diallo,OKC,140,0,SG,
P.J. Hairston,Hou,140,0,SG,
David Stockton,LAL,140,0,PG,
Demetrius Jackson,LAL,140,0,PG,
Ben Moore,SA,140,0,PF,
